timestamp,buyer,seller,symbol,currency,price,quantity,day,source_file,notional,day_book,symbol_book,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,source_file_book,outer_bid,outer_ask,wall_mid_outer,spread,top3_bid_volume,top3_ask_volume,book_imbalance,wall_bid,wall_ask,wall_mid,book_index,mid_plus_1,mid_plus_2,mid_plus_5,mid_plus_10,mid_plus_20,mid_plus_50,mid_plus_100,next_top3_bid,next_top3_ask,bid_at_trade,ask_at_trade,aggressor,mark,role,side,edge_at_fill,mark_aggressor,session_bin,quantity_bin,mid_move_100,fwd_100,fwd_pnl_100,mid_move_200,fwd_200,fwd_pnl_200,mid_move_500,fwd_500,fwd_pnl_500,mid_move_1000,fwd_1000,fwd_pnl_1000,mid_move_2000,fwd_2000,fwd_pnl_2000,mid_move_5000,fwd_5000,fwd_pnl_5000,mid_move_10000,fwd_10000,fwd_pnl_10000
41300,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9953.0,5,1,trades_round_4_day_1.csv,49765.0,1,HYDROGEL_PACK,9937,14,9934.0,27.0,,,9953,14,9955.0,27.0,,,9945.0,0.0,prices_round_4_day_1.csv,9934.0,9955.0,9944.5,16,41.0,41.0,0.0,9934.0,9955.0,9944.5,413,9944.0,9945.0,9946.0,9959.0,9959.0,9972.0,9976.0,41.0,41.0,9937,9953,buy,Mark 38,buyer,1.0,-8.0,True,early,3-5,-1.0,-9.0,-45.0,0.0,-8.0,-40.0,1.0,-7.0,-35.0,14.0,6.0,30.0,14.0,6.0,30.0,27.0,19.0,95.0,31.0,23.0,115.0
43900,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9952.0,6,1,trades_round_4_day_1.csv,59712.0,1,HYDROGEL_PACK,9952,12,9949.0,24.0,,,9968,12,9970.0,24.0,,,9960.0,0.0,prices_round_4_day_1.csv,9949.0,9970.0,9959.5,16,36.0,36.0,0.0,9949.0,9970.0,9959.5,439,9964.0,9968.0,9967.0,9969.0,9969.0,9968.0,9966.0,40.0,40.0,9952,9968,sell,Mark 14,buyer,1.0,8.0,False,early,6-10,4.0,12.0,72.0,8.0,16.0,96.0,7.0,15.0,90.0,9.0,17.0,102.0,9.0,17.0,102.0,8.0,16.0,96.0,6.0,14.0,84.0
45200,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9961.0,2,1,trades_round_4_day_1.csv,19922.0,1,HYDROGEL_PACK,9961,14,9959.0,20.0,,,9977,14,9980.0,20.0,,,9969.0,0.0,prices_round_4_day_1.csv,9959.0,9980.0,9969.5,16,34.0,34.0,0.0,9959.0,9980.0,9969.5,452,9964.0,9971.0,9972.0,9971.0,9973.0,9982.0,9946.0,37.0,43.0,9961,9977,sell,Mark 14,buyer,1.0,8.0,False,early,1-2,-5.0,3.0,6.0,2.0,10.0,20.0,3.0,11.0,22.0,2.0,10.0,20.0,4.0,12.0,24.0,13.0,21.0,42.0,-23.0,-15.0,-30.0
48300,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9960.0,3,1,trades_round_4_day_1.csv,29880.0,1,HYDROGEL_PACK,9960,15,9957.0,20.0,,,9975,15,9978.0,20.0,,,9967.5,0.0,prices_round_4_day_1.csv,9957.0,9978.0,9967.5,15,35.0,35.0,0.0,9957.0,9978.0,9967.5,483,9966.0,9966.0,9966.0,9975.0,9980.0,9967.0,9954.0,41.0,41.0,9960,9975,sell,Mark 14,buyer,1.0,7.5,False,early,3-5,-1.5,6.0,18.0,-1.5,6.0,18.0,-1.5,6.0,18.0,7.5,15.0,45.0,12.5,20.0,60.0,-0.5,7.0,21.0,-13.5,-6.0,-18.0
52400,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9961.0,5,1,trades_round_4_day_1.csv,49805.0,1,HYDROGEL_PACK,9961,14,9959.0,20.0,,,9977,14,9980.0,20.0,,,9969.0,0.0,prices_round_4_day_1.csv,9959.0,9980.0,9969.5,16,34.0,34.0,0.0,9959.0,9980.0,9969.5,524,9971.0,9970.0,9969.0,9965.0,9954.0,9953.0,9940.0,40.0,40.0,9961,9977,sell,Mark 14,buyer,1.0,8.0,False,early,3-5,2.0,10.0,50.0,1.0,9.0,45.0,0.0,8.0,40.0,-4.0,4.0,20.0,-15.0,-7.0,-35.0,-16.0,-8.0,-40.0,-29.0,-21.0,-105.0
53000,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9961.0,4,1,trades_round_4_day_1.csv,39844.0,1,HYDROGEL_PACK,9961,13,9958.0,29.0,,,9977,13,9979.0,29.0,,,9969.0,0.0,prices_round_4_day_1.csv,9958.0,9979.0,9968.5,16,42.0,42.0,0.0,9958.0,9979.0,9968.5,530,9968.5,9967.0,9968.0,9960.0,9947.5,9954.0,9942.5,36.0,36.0,9961,9977,sell,Mark 14,buyer,1.0,8.0,False,early,3-5,-0.5,7.5,30.0,-2.0,6.0,24.0,-1.0,7.0,28.0,-9.0,-1.0,-4.0,-21.5,-13.5,-54.0,-15.0,-7.0,-28.0,-26.5,-18.5,-74.0
59300,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9949.0,4,1,trades_round_4_day_1.csv,39796.0,1,HYDROGEL_PACK,9949,15,9947.0,22.0,,,9965,15,9968.0,22.0,,,9957.0,0.0,prices_round_4_day_1.csv,9947.0,9968.0,9957.5,16,37.0,37.0,0.0,9947.0,9968.0,9957.5,593,9957.0,9955.0,9955.0,9953.0,9952.0,9941.0,9957.5,34.0,34.0,9949,9965,sell,Mark 14,buyer,1.0,8.0,False,early,3-5,0.0,8.0,32.0,-2.0,6.0,24.0,-2.0,6.0,24.0,-4.0,4.0,16.0,-5.0,3.0,12.0,-16.0,-8.0,-32.0,0.5,8.5,34.0
61100,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9961.0,2,1,trades_round_4_day_1.csv,19922.0,1,HYDROGEL_PACK,9945,15,9943.0,29.0,,,9961,15,9964.0,29.0,,,9953.0,0.0,prices_round_4_day_1.csv,9943.0,9964.0,9953.5,16,44.0,44.0,0.0,9943.0,9964.0,9953.5,611,9952.0,9952.0,9953.0,9945.0,9942.0,9944.0,9963.0,33.0,33.0,9945,9961,buy,Mark 38,buyer,1.0,-8.0,True,early,1-2,-1.0,-9.0,-18.0,-1.0,-9.0,-18.0,0.0,-8.0,-16.0,-8.0,-16.0,-32.0,-11.0,-19.0,-38.0,-9.0,-17.0,-34.0,10.0,2.0,4.0
61400,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9962.0,2,1,trades_round_4_day_1.csv,19924.0,1,HYDROGEL_PACK,9946,13,9944.0,28.0,,,9962,13,9965.0,28.0,,,9954.0,0.0,prices_round_4_day_1.csv,9944.0,9965.0,9954.5,16,41.0,41.0,0.0,9944.0,9965.0,9954.5,614,9954.0,9953.0,9948.0,9940.0,9937.0,9948.5,9961.0,37.0,37.0,9946,9962,buy,Mark 38,buyer,1.0,-8.0,True,early,1-2,0.0,-8.0,-16.0,-1.0,-9.0,-18.0,-6.0,-14.0,-28.0,-14.0,-22.0,-44.0,-17.0,-25.0,-50.0,-5.5,-13.5,-27.0,7.0,-1.0,-2.0
63200,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9950.0,5,1,trades_round_4_day_1.csv,49750.0,1,HYDROGEL_PACK,9934,15,9931.0,24.0,,,9950,15,9952.0,24.0,,,9942.0,0.0,prices_round_4_day_1.csv,9931.0,9952.0,9941.5,16,39.0,39.0,0.0,9931.0,9952.0,9941.5,632,9940.0,9937.0,9937.0,9940.0,9937.0,9958.0,9971.0,45.0,45.0,9934,9950,buy,Mark 38,buyer,1.0,-8.0,True,early,3-5,-2.0,-10.0,-50.0,-5.0,-13.0,-65.0,-5.0,-13.0,-65.0,-2.0,-10.0,-50.0,-5.0,-13.0,-65.0,16.0,8.0,40.0,29.0,21.0,105.0
64300,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9933.0,4,1,trades_round_4_day_1.csv,39732.0,1,HYDROGEL_PACK,9933,12,9930.0,20.0,,,9949,12,9951.0,20.0,,,9941.0,0.0,prices_round_4_day_1.csv,9930.0,9951.0,9940.5,16,32.0,32.0,0.0,9930.0,9951.0,9940.5,643,9940.5,9939.0,9937.0,9939.0,9951.0,9957.5,9983.0,39.0,39.0,9933,9949,sell,Mark 14,buyer,1.0,8.0,False,early,3-5,-0.5,7.5,30.0,-2.0,6.0,24.0,-4.0,4.0,16.0,-2.0,6.0,24.0,10.0,18.0,72.0,16.5,24.5,98.0,42.0,50.0,200.0
65400,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9930.0,4,1,trades_round_4_day_1.csv,39720.0,1,HYDROGEL_PACK,9930,12,9928.0,21.0,,,9946,12,9949.0,21.0,,,9938.0,0.0,prices_round_4_day_1.csv,9928.0,9949.0,9938.5,16,33.0,33.0,0.0,9928.0,9949.0,9938.5,654,9939.0,9934.5,9942.5,9948.5,9956.0,9957.0,9983.0,34.0,34.0,9930,9946,sell,Mark 14,buyer,1.0,8.0,False,early,3-5,1.0,9.0,36.0,-3.5,4.5,18.0,4.5,12.5,50.0,10.5,18.5,74.0,18.0,26.0,104.0,19.0,27.0,108.0,45.0,53.0,212.0
65900,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9935.0,2,1,trades_round_4_day_1.csv,19870.0,1,HYDROGEL_PACK,9935,15,9932.0,24.0,,,9950,15,9953.0,24.0,,,9942.5,0.0,prices_round_4_day_1.csv,9932.0,9953.0,9942.5,15,39.0,39.0,0.0,9932.0,9953.0,9942.5,659,9942.0,9944.0,9948.5,9949.0,9958.0,9961.0,9983.0,38.0,38.0,9935,9950,sell,Mark 14,buyer,1.0,7.5,False,early,1-2,-0.5,7.0,14.0,1.5,9.0,18.0,6.0,13.5,27.0,6.5,14.0,28.0,15.5,23.0,46.0,18.5,26.0,52.0,40.5,48.0,96.0
69500,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9952.0,2,1,trades_round_4_day_1.csv,19904.0,1,HYDROGEL_PACK,9952,13,9949.0,30.0,,,9967,13,9970.0,30.0,,,9959.5,0.0,prices_round_4_day_1.csv,9949.0,9970.0,9959.5,15,43.0,43.0,0.0,9949.0,9970.0,9959.5,695,9962.0,9960.0,9957.0,9955.0,9965.0,9980.0,9983.0,36.0,36.0,9952,9967,sell,Mark 14,buyer,1.0,7.5,False,early,1-2,2.5,10.0,20.0,0.5,8.0,16.0,-2.5,5.0,10.0,-4.5,3.0,6.0,5.5,13.0,26.0,20.5,28.0,56.0,23.5,31.0,62.0
73500,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9966.0,3,1,trades_round_4_day_1.csv,29898.0,1,HYDROGEL_PACK,9966,12,9964.0,24.0,,,9982,12,9985.0,24.0,,,9974.0,0.0,prices_round_4_day_1.csv,9964.0,9985.0,9974.5,16,36.0,36.0,0.0,9964.0,9985.0,9974.5,735,9978.0,9978.0,9980.0,9980.0,9980.0,9992.0,9975.0,40.0,40.0,9966,9982,sell,Mark 14,buyer,1.0,8.0,False,early,3-5,4.0,12.0,36.0,4.0,12.0,36.0,6.0,14.0,42.0,6.0,14.0,42.0,6.0,14.0,42.0,18.0,26.0,78.0,1.0,9.0,27.0
76600,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9995.0,3,1,trades_round_4_day_1.csv,29985.0,1,HYDROGEL_PACK,9979,15,9977.0,29.0,,,9995,15,9998.0,29.0,,,9987.0,0.0,prices_round_4_day_1.csv,9977.0,9998.0,9987.5,16,44.0,44.0,0.0,9977.0,9998.0,9987.5,766,9990.0,9992.0,9991.0,9993.0,9990.0,9974.0,9964.0,41.0,41.0,9979,9995,buy,Mark 38,buyer,1.0,-8.0,True,early,3-5,3.0,-5.0,-15.0,5.0,-3.0,-9.0,4.0,-4.0,-12.0,6.0,-2.0,-6.0,3.0,-5.0,-15.0,-13.0,-21.0,-63.0,-23.0,-31.0,-93.0
78500,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,10000.0,4,1,trades_round_4_day_1.csv,40000.0,1,HYDROGEL_PACK,9984,15,9982.0,23.0,,,10000,15,10003.0,23.0,,,9992.0,0.0,prices_round_4_day_1.csv,9982.0,10003.0,9992.5,16,38.0,38.0,0.0,9982.0,10003.0,9992.5,785,9990.0,9990.0,9989.5,9983.0,9981.0,9975.0,9960.0,33.0,33.0,9984,10000,buy,Mark 38,buyer,1.0,-8.0,True,early,3-5,-2.0,-10.0,-40.0,-2.0,-10.0,-40.0,-2.5,-10.5,-42.0,-9.0,-17.0,-68.0,-11.0,-19.0,-76.0,-17.0,-25.0,-100.0,-32.0,-40.0,-160.0
79000,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9982.0,3,1,trades_round_4_day_1.csv,29946.0,1,HYDROGEL_PACK,9982,13,9979.0,21.0,,,9997,13,10000.0,21.0,,,9989.5,0.0,prices_round_4_day_1.csv,9979.0,10000.0,9989.5,15,34.0,34.0,0.0,9979.0,10000.0,9989.5,790,9991.0,9989.0,9983.0,9984.0,9982.0,9971.0,9967.0,34.0,34.0,9982,9997,sell,Mark 14,buyer,1.0,7.5,False,early,3-5,1.5,9.0,27.0,-0.5,7.0,21.0,-6.5,1.0,3.0,-5.5,2.0,6.0,-7.5,0.0,0.0,-18.5,-11.0,-33.0,-22.5,-15.0,-45.0
79800,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9994.0,6,1,trades_round_4_day_1.csv,59964.0,1,HYDROGEL_PACK,9978,12,9976.0,25.0,,,9994,12,9997.0,25.0,,,9986.0,0.0,prices_round_4_day_1.csv,9976.0,9997.0,9986.5,16,37.0,37.0,0.0,9976.0,9997.0,9986.5,798,9986.0,9984.0,9980.0,9985.0,9970.0,9968.5,9965.0,43.0,43.0,9978,9994,buy,Mark 38,buyer,1.0,-8.0,True,early,6-10,0.0,-8.0,-48.0,-2.0,-10.0,-60.0,-6.0,-14.0,-84.0,-1.0,-9.0,-54.0,-16.0,-24.0,-144.0,-17.5,-25.5,-153.0,-21.0,-29.0,-174.0
81300,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9970.0,6,1,trades_round_4_day_1.csv,59820.0,1,HYDROGEL_PACK,9970,12,9967.0,28.0,,,9986,12,9988.0,28.0,,,9978.0,0.0,prices_round_4_day_1.csv,9967.0,9988.0,9977.5,16,40.0,40.0,0.0,9967.0,9988.0,9977.5,813,9973.0,9974.0,9970.0,9969.0,9975.0,9965.0,9958.0,36.0,36.0,9970,9986,sell,Mark 14,buyer,1.0,8.0,False,early,6-10,-5.0,3.0,18.0,-4.0,4.0,24.0,-8.0,0.0,0.0,-9.0,-1.0,-6.0,-3.0,5.0,30.0,-13.0,-5.0,-30.0,-20.0,-12.0,-72.0
81700,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9980.0,3,1,trades_round_4_day_1.csv,29940.0,1,HYDROGEL_PACK,9964,10,9962.0,24.0,,,9980,10,9983.0,24.0,,,9972.0,0.0,prices_round_4_day_1.csv,9962.0,9983.0,9972.5,16,34.0,34.0,0.0,9962.0,9983.0,9972.5,817,9970.0,9970.0,9969.0,9980.5,9973.0,9964.0,9958.0,35.0,35.0,9964,9980,buy,Mark 38,buyer,1.0,-8.0,True,early,3-5,-2.0,-10.0,-30.0,-2.0,-10.0,-30.0,-3.0,-11.0,-33.0,8.5,0.5,1.5,1.0,-7.0,-21.0,-8.0,-16.0,-48.0,-14.0,-22.0,-66.0
81900,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9978.0,2,1,trades_round_4_day_1.csv,19956.0,1,HYDROGEL_PACK,9962,12,9959.0,28.0,,,9978,12,9980.0,28.0,,,9970.0,0.0,prices_round_4_day_1.csv,9959.0,9980.0,9969.5,16,40.0,40.0,0.0,9959.0,9980.0,9969.5,819,9970.0,9973.0,9971.0,9969.0,9972.0,9962.5,9959.0,37.0,37.0,9962,9978,buy,Mark 38,buyer,1.0,-8.0,True,early,1-2,0.0,-8.0,-16.0,3.0,-5.0,-10.0,1.0,-7.0,-14.0,-1.0,-9.0,-18.0,2.0,-6.0,-12.0,-7.5,-15.5,-31.0,-11.0,-19.0,-38.0
82300,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9977.0,3,1,trades_round_4_day_1.csv,29931.0,1,HYDROGEL_PACK,9961,11,9958.0,30.0,,,9977,11,9979.0,30.0,,,9969.0,0.0,prices_round_4_day_1.csv,9958.0,9979.0,9968.5,16,41.0,41.0,0.0,9958.0,9979.0,9968.5,823,9971.0,9973.0,9971.0,9975.0,9973.0,9965.0,9964.0,36.0,36.0,9961,9977,buy,Mark 38,buyer,1.0,-8.0,True,early,3-5,2.0,-6.0,-18.0,4.0,-4.0,-12.0,2.0,-6.0,-18.0,6.0,-2.0,-6.0,4.0,-4.0,-12.0,-4.0,-12.0,-36.0,-5.0,-13.0,-39.0
92100,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9955.0,4,1,trades_round_4_day_1.csv,39820.0,1,HYDROGEL_PACK,9955,13,9952.0,29.0,,,9971,13,9973.0,29.0,,,9963.0,0.0,prices_round_4_day_1.csv,9952.0,9973.0,9962.5,16,42.0,42.0,0.0,9952.0,9973.0,9962.5,921,9965.0,9964.0,9966.0,9965.0,9970.0,9958.0,9952.0,39.0,39.0,9955,9971,sell,Mark 14,buyer,1.0,8.0,False,early,3-5,2.0,10.0,40.0,1.0,9.0,36.0,3.0,11.0,44.0,2.0,10.0,40.0,7.0,15.0,60.0,-5.0,3.0,12.0,-11.0,-3.0,-12.0
92500,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9956.0,2,1,trades_round_4_day_1.csv,19912.0,1,HYDROGEL_PACK,9956,12,9953.0,27.0,,,9972,12,9974.0,27.0,,,9964.0,0.0,prices_round_4_day_1.csv,9953.0,9974.0,9963.5,16,39.0,39.0,0.0,9953.0,9974.0,9963.5,925,9966.0,9965.0,9963.0,9969.0,9964.0,9959.0,9949.5,41.0,41.0,9956,9972,sell,Mark 14,buyer,1.0,8.0,False,early,1-2,2.0,10.0,20.0,1.0,9.0,18.0,-1.0,7.0,14.0,5.0,13.0,26.0,0.0,8.0,16.0,-5.0,3.0,6.0,-14.5,-6.5,-13.0
94400,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9974.0,4,1,trades_round_4_day_1.csv,39896.0,1,HYDROGEL_PACK,9958,15,9955.0,22.0,,,9974,15,9976.0,22.0,,,9966.0,0.0,prices_round_4_day_1.csv,9955.0,9976.0,9965.5,16,37.0,37.0,0.0,9955.0,9976.0,9965.5,944,9964.0,9965.0,9966.0,9963.5,9964.0,9951.0,9954.0,31.0,31.0,9958,9974,buy,Mark 38,buyer,1.0,-8.0,True,early,3-5,-2.0,-10.0,-40.0,-1.0,-9.0,-36.0,0.0,-8.0,-32.0,-2.5,-10.5,-42.0,-2.0,-10.0,-40.0,-15.0,-23.0,-92.0,-12.0,-20.0,-80.0
97100,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9950.0,2,1,trades_round_4_day_1.csv,19900.0,1,HYDROGEL_PACK,9950,11,9948.0,29.0,,,9966,11,9968.0,29.0,,,9958.0,0.0,prices_round_4_day_1.csv,9948.0,9968.0,9958.0,16,40.0,40.0,0.0,9948.0,9968.0,9958.0,971,9958.0,9956.0,9959.0,9951.0,9952.0,9952.0,9960.0,31.0,31.0,9950,9966,sell,Mark 14,buyer,1.0,8.0,False,early,1-2,0.0,8.0,16.0,-2.0,6.0,12.0,1.0,9.0,18.0,-7.0,1.0,2.0,-6.0,2.0,4.0,-6.0,2.0,4.0,2.0,10.0,20.0
